Sample_ID;Temperature;pH;Salinity;Turbidity;Dissolved_Oxygen;Nitrate;Chlorophyll_a;nutrient_index;pH_deviation;Rainfall_last_7_days_mm;Distance_to_pollution_source_km;Water_depth_m;Current_velocity_m_s;Phosphate_concentration_mg_L;BOD_mg_L;Distance_to_coast_km;Seagrass_or_algae_cover;is_safe
WQ05442;11.83;6.75;39.94;48.58;9.83;4.58;21.21;97.1418;0.25;16.053;25.956;76.114;0.982;0.0801;7.463;14.522;Medium;1
WQ05443;;7;37.7;24.18;0.81;23.41;84.02;1966.9082;0;114.397;30.059;75.443;0.338;0.4847;1.834;77.561;Medium;0
WQ05444;25.63;7.88;39.71;29.41;13.15;3.44;26.98;92.8112;0.88;8.72;23.148;194.537;1.099;0.1859;6.386;91.939;Low;1
WQ05445;11.58;8.71;34.18;16.03;11.25;5.88;23.27;136.8276;1.71;23.891;17.368;48.133;1.468;0.4923;0.923;89.862;Low;1
WQ05446;18.54;6.84;32.3;31.1;10.15;1.82;16.39;29.8298;0.16;41.739;23.657;163.976;0.794;0.0561;4.18;70.713;Low;1
WQ05447;10.99;6.78;32.19;49.54;3.73;;89.89;1978.4789;0.22;74.428;15.915;142.226;0.398;0.0842;4.413;53.782;High;0
WQ05448;12.11;8.63;38.44;15.85;14.43;1.91;16.06;30.6746;1.63;65.376;22.187;3.103;0.864;0.3304;8.621;77.697;Medium;1
WQ05449;29.05;7.7;39.27;3.7;10.1;3.78;23.64;89.3592;0.7;15.077;18.266;198.649;1.039;0.016;2.214;51.664;Medium;1
WQ05450;25.83;7.23;34.62;49.98;1.4;20.89;97.07;2027.7923;0.23;34.767;28.527;151.775;0.32;0.0143;6.614;32.191;Low;0
WQ05451;25.54;6.82;36.78;4.12;13.44;1.63;12.66;20.6358;0.18;28.65;12.277;137.125;1.082;0.397;2.328;25.968;High;1
WQ05452;12.13;6.91;37.98;34.04;11.78;1.75;22.41;39.2175;0.09;25.625;49.438;82.254;0.885;0.0881;9.512;54.112;Medium;1
WQ05453;20.15;7.46;39.9;29.9;0;20.64;98.56;2034.2784;0.46;49.337;25.293;111.93;0.922;0.4598;5.53;45.65;Low;0
WQ05454;24.63;7.66;30.18;14.38;8.42;2.48;31.39;77.8472;0.66;84.484;10.111;52.148;0.466;0.2158;7.228;52.497;Low;1
WQ05455;25.12;6.6;38.31;29.37;9.3;3.82;25.28;96.5696;0.4;26.094;24.115;9.026;0.241;0.4375;6.642;26.144;Low;1
WQ05456;31.84;8.19;30.17;25.06;10.36;4.58;32.04;146.7432;1.19;44.001;43.388;167.532;0.939;0.2118;3.385;59.099;Medium;1
WQ05457;63.48324112;7.86;37.28;16.09;1.7;25;100;2500;0.86;46.91;1.579;179.504;0.883;0.2675;9.061;66.241;High;0
WQ05458;25.9;8.07;39.63;11.15;13.14;2.5;19.27;48.175;1.07;117.175;34.138;34.169;0.514;0.1617;6.459;80.704;High;1
WQ05459;31.06;8.12;32.4;46.7;0;25;99.17;2479.25;1.12;114.56;27.624;157.837;0.451;0.3307;5.348;59.04;Low;0
WQ05460;24.32;6.93;35.24;0.96;3.29;17.97;70.48;1266.5256;0.07;96.017;8.893;148.748;0.527;0.1625;5.519;75.631;High;0
WQ05461;13.99;6.85;37.22;14.13;5.05;17.17;75.15;1290.3255;0.15;28.999;40.965;37.318;0.74;0.1155;8.962;17.022;High;0
WQ05462;22.01;7.22;31.61;35.73;0.97;23.33;100;2333;0.22;8.164;18.76;85.522;1.462;0.0451;1.062;12.194;Low;0
WQ05463;;7.22;31.31;43.55;5.14;13.6;73.42;998.512;0.22;38.028;15.043;85.706;1.148;0.0335;4.196;18.046;Medium;0
WQ05464;27.05;8.2;35.38;4.82;15.22;3;19.82;59.46;1.2;32.015;41.492;152.473;1.279;0.1565;8.495;84.642;High;1
WQ05465;31.66;7.26;32.82;25.73;0.9;19.98;99.64;1990.8072;0.26;60.711;32.107;167.857;0.763;0.3696;0.856;55.659;Medium;0
WQ05466;21.76;7.05;34.59;13.21;1.08;20.99;81.69;1714.6731;0.05;93.327;44.964;20.765;0.794;0.1068;6.572;45.586;High;0
WQ05467;26.17;7.17;33.03;39.26;11.67;2.54;18.39;46.7106;0.17;102.999;31.679;113.468;0.314;0.1531;4.331;76.24;Low;1
WQ05468;51.1370526;7.21;39.91;9.55;0.05;19.72;100;1972;0.21;101.384;37.17;152.826;1.084;0.4531;2.444;12.495;Medium;0
WQ05469;12.1;7.47;39.15;36.35;13.71;3.94;30.14;118.7516;0.47;43.161;41.904;157.666;0.638;0.3214;6.308;0.72;Medium;1
WQ05470;27.22;7.03;36.29;30.72;0;20.92;77.76;1626.7392;0.03;82.468;3.21;31.303;1.116;0.4603;8.395;31.165;High;0
WQ05471;19.78;6.83;36.62;43.52;2.91;20.16;89.03;1794.8448;0.17;37.54;38.914;106.05;0.619;0.4561;4.94;24.965;Medium;0
WQ05472;20.08;7.66;31.2;45.61;6.65;8.36;47.45;396.682;0.66;7.309;30.878;171.797;0.172;0.0364;1.894;30.802;High;0
WQ05473;;8.77;30.67;4.45;11.5;6.84;23.04;157.5936;1.77;84.188;3.941;65.067;0.268;0.4777;3.408;97.36;Medium;1
WQ05474;13.45;7.54;32.84;7.72;1.97;23.92;93.16;2228.3872;0.54;1.179;25.675;86.173;1.219;0.0303;9.823;56.818;High;0
WQ05475;31.67;8.23;33.93;29.74;10.15;3.73;29.84;111.3032;1.23;49.102;4.582;161.263;0.395;0.4632;1.555;58.952;High;1
WQ05476;19.82;6.98;39.03;44.32;14.25;2.82;11.69;32.9658;0.02;39.526;36.929;19.685;0.404;0.2756;2.027;65.601;Low;1
WQ05477;24.8;8.75;33.05;46.46;0;21.72;80.94;1758.0168;1.75;83.205;27.552;172.18;1.395;0.2689;9.907;39.833;Low;0
WQ05478;22.07;7.46;37.87;3.87;0;22.74;86.85;1974.969;0.46;91.949;47.702;63.609;0.99;0.3581;8.88;97.9;High;0
WQ05479;14.76;7.96;31.33;46.58;0;;92.92;2187.3368;0.96;36.491;9.565;2.287;0.18;0.4402;7.218;97.329;High;0
WQ05480;17.53;7.12;39.66;28.11;12.98;1.59;10;15.9;0.12;97.395;30.499;48.364;0.224;0.3104;1.934;76.948;High;1
WQ05481;;7.58;31.58;42.45;2.85;17.37;99.23;1723.6251;0.58;35.27;10.973;19.721;0.416;0.2156;2.785;21.248;Low;0
WQ05482;15.85;7.15;35.41;23.42;11.04;;22.07;65.9893;0.15;53.559;30.896;20.292;0.895;0.0604;2.212;88.032;Low;1
WQ05483;22.3;8.04;30.27;23.56;10.21;0.17;13.99;2.3783;1.04;87.242;36.271;139.181;1.132;0.3957;6.494;10.182;Medium;1
WQ05484;30.23;-1.574082286;31.57;27.57;2.66;22.08;87.75;1937.52;0.77;83.15;36.254;44.367;0.419;0.0685;4.289;63.026;High;0
WQ05485;28.37;8.76;35.26;9;11.81;0.23;19.8;4.554;1.76;118.484;40.846;187.079;1.307;0.3646;0.954;45.776;Medium;1
WQ05486;27.32;8.64;32.17;26.94;1.71;18.53;75.51;1399.2003;1.64;27.019;42.751;104.256;0.173;0.2663;3.267;4.018;Low;0
WQ05487;22.76;6.53;33.2;34.71;3.61;18.34;79.24;1453.2616;0.47;79.478;4.325;93.099;0.319;0.196;8.676;90.4;High;0
WQ05488;17.99;8.23;30.38;36.21;3.37;14.89;84.17;1253.2913;1.23;73.162;17.492;87.988;1.456;0.3084;8.062;96.113;Medium;0
WQ05489;24.45;7.08;31.98;1.21;3.21;20.03;95.36;1910.0608;0.08;109.812;34.513;139.132;0.211;0.3873;6.609;90.749;Medium;0
WQ05490;15.93;8.21;34.01;35.46;0;22.19;86.05;1909.4495;1.21;18.763;25.18;91.548;1.333;0.4709;1.313;19.327;High;0
WQ05491;24.31;8.46;34.93;9.5;11.24;;28.67;175.1737;1.46;90.216;9.938;27.463;1.059;0.136;8.887;33.365;Medium;1
WQ05492;16.96;8.36;37.33;23.7;1.63;21.99;77.83;1711.4817;1.36;68.192;27.859;176.274;0.119;0.4738;5.578;95.578;Medium;0
WQ05493;24.15;6.6;39.48;44.7;3.76;-13.27;70.88;940.5776;0.4;;20.668;86.822;0.731;0.4807;5.198;10.732;Low;0
WQ05494;28.53;8.67;31.54;16.25;5.88;15.56;82.44;1282.7664;1.67;56.932;19.807;16.653;0.783;0.4077;9.374;58.372;Low;0
WQ05495;12.45;7.72;34.51;38.93;13.32;1.08;22.53;24.3324;0.72;40.053;40.583;106.814;1.399;0.4413;0.584;48.604;Medium;1
WQ05496;21.34;6.63;37.27;12.25;2.44;18.58;96.56;1794.0848;0.37;69.518;20.676;130.175;0.637;0.3478;5.781;15.275;Medium;0
WQ05497;;7.96;34.05;23.5;13.83;1.64;16.36;26.8304;0.96;106.68;1.809;56.565;0.676;0.0244;8.017;88.669;High;1
WQ05498;13.14;8.24;37.21;19.21;11.08;0;13.48;0;1.24;68.317;3.374;160.467;0.178;0.2897;1.105;13.502;Low;1
WQ05499;25.57;6.7;32.9;25.6;2.79;20.41;87.86;1793.2226;0.3;75.807;42.884;134.616;0.962;0.3749;3.893;59.311;High;0
WQ05500;21.9;8.41;33.01;3.74;2.25;24.51;100;2451;1.41;62.25;48.05;130.768;0.324;0.4711;9.786;31.886;High;0
WQ05501;19.84;10.49557799;35.81;13.49;0;23.37;89.95;2102.1315;0.53;6.14;34.576;85.323;0.126;0.2874;2.512;41.856;Low;0
WQ05502;29.6;8.42;39.64;28.67;13.24;3.79;10;37.9;1.42;27.943;18.536;192.459;1.495;0.3981;5.546;21.215;Medium;1
WQ05503;20.45;6.8;32.4;3.63;3.56;19.61;88.12;1728.0332;0.2;59.04;46.961;56.289;0.412;0.354;7.588;62.504;Medium;0
WQ05504;8.662566771;6.92;39.02;24.94;5.08;15.52;61.92;960.9984;0.08;37.228;33.309;116.386;0.22;0.144;4.209;98.869;High;0
WQ05505;27.24;7.5;36.94;12.31;4.93;17.91;68.98;1235.4318;0.5;21.812;42.295;63.193;1.052;0.0816;4.375;83.371;High;0
WQ05506;17.69;7.28;31.59;22.17;2.73;18.52;86.48;1601.6096;0.28;60.496;38.41;149.471;1.234;0.3767;1.101;68.352;Medium;0
WQ05507;31.78;7.94;31.71;40.35;2;;89.49;2181.7662;0.94;38.737;19.267;11.463;0.105;0.1207;2.306;75.662;High;0
WQ05508;25.78;8.67;35.28;27.23;12.4;1.33;16.81;22.3573;1.67;30.973;24.196;11.087;0.167;0.1261;8.866;83.945;Medium;1
WQ05509;27.36;7.05;32.69;28.22;4.39;17.76;68.85;1222.776;0.05;55.678;9.714;162.55;0.144;0.3238;8.274;47.307;Low;0
WQ05510;25.08;7.08;34.81;7.26;0.32;22.39;95.02;2127.4978;0.08;15.994;14.955;87.985;0.08;0.3956;3.394;56.748;Low;0
WQ05511;14.7;8.63;30.33;46.97;3.45;22.99;73.18;1682.4082;1.63;111.329;39.017;69.554;0.993;0.2933;4.126;89.559;Medium;0
WQ05512;;8.7;39.51;28.19;14.69;1.84;24.39;44.8776;1.7;104.124;44.752;122.29;0.887;0.4431;4.684;69.625;High;1
WQ05513;16.36;8.22;38.36;16.33;3.15;23.74;78.73;1869.0502;1.22;84.914;36.361;140.976;0.998;0.1097;3.786;13.689;Low;0
WQ05514;31.78;8;34.42;7.8;2.41;23.72;88.67;2103.2524;1;12.746;23.526;41.838;0.763;0.1299;6.712;77.976;Medium;0
WQ05515;22.1;0.485879619;33.61;2.29;7.87;8.33;37.35;311.1255;0.23;93.105;4.782;38.715;1.228;0.3203;0.622;2.368;Medium;1
WQ05516;18.95;6.84;32.26;5.75;0.28;22.75;93.87;2135.5425;0.16;96.955;3.319;191.714;0.825;0.4155;8.862;84.768;High;0
WQ05517;25.02;8.24;30.72;42.58;14.45;2.67;23.14;61.7838;1.24;92.132;19.029;118.754;1.379;0.272;3.356;78.851;High;1
WQ05518;23.23;7.3;30.51;8.15;1.36;22.09;83.35;1841.2015;0.3;13.676;23.459;79.243;0.734;0.0101;8.788;83.092;High;0
WQ05519;25.25;6.85;39.69;18.59;8.08;9.13;36.59;334.0667;0.15;77.269;30.651;;1.188;0.3401;4.817;2.457;Low;1
WQ05520;17.07;6.72;36.46;47.37;5.34;;66.73;980.2637;0.28;100.119;0.821;105.981;0.617;0.4077;7.875;97.248;Low;0
WQ05521;29.42;7.58;34.55;2.07;1.47;20.7;77.93;1613.151;0.58;69.282;49.491;49.849;0.658;0.1419;8.345;61.452;Low;0
WQ05522;24.41;6.52;35.12;40.95;12.9;;23.5;0.47;0.48;77.569;18.515;42.934;1.275;0.0318;3.362;80.025;Medium;1
WQ05523;79.71013236;8.26;32.67;41.69;0.04;21.83;93.51;2041.3233;1.26;55.004;42.481;;0.17;0.2614;6.583;56.699;Medium;0
WQ05524;;7.25;36.84;3.57;10.02;1.5;13.1;19.65;0.25;63.445;26.981;172.259;0.852;0.0259;6.27;34.041;Medium;1
WQ05525;18.96;8.321871022;34.23;35.18;14.15;3.27;16.16;52.8432;0.7;4.125;6.957;14.167;1.092;0.2109;5.022;29.685;Low;1
WQ05526;29.99;6.52;31.34;6.43;14.7;1.78;33.75;60.075;0.48;76.676;39.979;45.268;1.128;0.0138;4.961;7.086;Medium;1
WQ05527;24.51;7.16;32.79;11.63;14.02;2.21;10;22.1;0.16;9.774;35.636;178.844;0.891;0.1164;3.399;54.297;Medium;1
WQ05528;16.48;7.76;36.34;29.66;15.25;3.17;27.61;87.5237;0.76;52.202;26.608;26.103;0.678;0.1975;3.447;14.445;Low;1
WQ05529;14.68;8.65;35.52;28.81;0.71;23.72;98.45;2335.234;1.65;35.119;25.97;126.666;0.399;0.0603;5.707;56.795;Medium;0
WQ05530;29.4;6.52;37.84;28.82;1.11;-19.34;75.04;1451.2736;0.48;65.451;4.83;44.275;1.365;0.0615;0.807;62.529;Low;0
WQ05531;27.37;7.49;32.04;4.85;12.68;2.2;10;22;0.49;;32.965;121.962;0.561;0.4144;9.37;44.264;Medium;1
WQ05532;11.43;8.6;37.68;11.47;0.83;22.14;91.98;2036.4372;1.6;82.997;45.607;77.855;1.2;0.0255;6.675;15.717;High;0
WQ05533;27.39;7.52;31.66;16;10.6;0.56;16.52;9.2512;0.52;95.401;5.116;22.132;0.057;0.346;4.713;43.327;Low;1
WQ05534;22.96;7.85;37.75;40.76;2.29;22.31;93.33;2082.1923;0.85;19.603;13.544;117.33;0.356;0.4082;1.087;87.879;Medium;0
WQ05535;28.14;7.92;30.38;15.58;3.07;18.43;95.05;1751.7715;0.92;12.518;45.164;137.242;0.525;0.0697;6.485;45.859;Medium;0
WQ05536;17.04;7.28;36.8;3.38;14.95;0.4;31.46;12.584;0.28;17.462;14.575;136.694;1.011;0.1017;0.669;34.339;High;1
WQ05537;26.51;8.56;35.36;5.96;0.69;20.42;81.38;1661.7796;1.56;105.255;32.87;128.133;0.486;0.3225;6.959;63.013;High;0
WQ05538;77.85160863;8.78;36.78;36.64;11.84;0;11.07;0;1.78;63.383;26.973;101.045;0.072;0.1612;1.189;61.924;Medium;1
WQ05539;21.26;6.68;31.95;26.44;1.36;19.9;83.38;1659.262;0.32;56.071;30.018;104.856;0.269;0.2408;6.733;9.153;High;0
WQ05540;31.2;8.68;33.36;32.17;12.02;3.32;26.12;86.7184;1.68;12.805;21.082;127.857;0.396;0.4188;4.356;23.725;High;1
WQ05541;14.41;7.08;34.88;36.7;12.6;0;16.32;0;0.08;77.947;15.35;138.671;0.272;0.0733;6.795;49.491;High;1
WQ05542;31.16;8.55;35.06;30.66;11.77;0;28.82;0;1.55;104.16;2.902;131.666;0.314;0.3117;1.816;36.696;High;1
WQ05543;29.74;12.03675426;32.56;17.07;0;24.17;83.45;2016.9865;0.68;99.382;37.342;118.215;1.156;0.4715;1.615;32.064;Medium;0
WQ05544;29.09;7.59;37.8;3.87;2.91;13.45;71.21;957.7745;0.59;75.127;37.432;32.856;0.624;0.0334;2.851;44.627;High;0
WQ05545;15.57;6.6;30.73;12.55;9.16;0.9;17.08;15.372;0.4;9.033;33.701;43.702;0.614;0.0347;4.409;29.102;High;1
WQ05546;18.44;7.55;33.69;6.49;11.96;2.48;11.74;29.1152;0.55;13.488;32.36;53.524;1.45;0.2796;2.904;34.812;Low;1
WQ05547;29.76;6.83;35.58;1.41;0.95;21.4;91.92;1967.088;0.17;5.917;12.564;184.093;0.676;0.4802;1.279;77.386;High;0
WQ05548;;7.58;34.18;45.33;15.48;3;15.35;46.05;0.58;;1.606;152.36;1.392;0.1141;3.588;51.072;Medium;1
WQ05549;11.2;6.74;39.01;14.38;10.49;1.98;10;19.8;0.26;16.279;40.531;111.468;0.456;0.1687;7.205;87.298;Low;1
WQ05550;;6.66;34.94;3.59;2.25;22.85;93.84;2144.244;0.34;31.206;24.811;51.907;0.607;0.0538;6.039;94.861;High;0
WQ05551;28.57;8.13;39.1;2.09;3.24;13.55;59.45;805.5475;1.13;46.207;15.688;23.957;0.6;0.1843;9.652;92.216;Low;0
WQ05552;13.21;7.57;32.53;11.57;14.45;0.24;10;2.4;0.57;;5.546;179.954;0.824;0.0269;4.641;25.446;Low;1
WQ05553;30.72;7.55;34.16;27.26;2.28;18.35;75.28;1381.388;0.55;73.245;3.605;178.748;0.881;0.1976;3.662;47.341;Medium;0
WQ05554;11.17;7.65;38.51;33.58;1.06;24.05;87.69;2108.9445;0.65;100.197;17.769;23.918;0.38;0.28;7.09;53.552;Medium;0
WQ05555;;8.02;35.2;30.86;0;18.24;96.27;1755.9648;1.02;85.242;40.334;159.849;1.192;0.4876;4.414;85.234;High;0
WQ05556;11.55;7.18;35.62;43.79;2.9;15.55;70.5;1096.275;0.18;;45.977;90.436;0.75;0.4101;6.374;55.946;Low;0
WQ05557;20.14;8.46;38.36;17.13;10.78;0.97;14.41;13.9777;1.46;;44.889;66.145;0.02;0.4119;9.49;25.346;Low;1
WQ05558;22.78;8.02;30.35;32.38;1.16;17.01;75.08;1277.1108;1.02;33.012;46.04;148.343;0.891;0.1179;5.242;54.799;Low;0
WQ05559;20.56;7.54;30.17;6.65;4.39;17.88;62.88;1124.2944;0.54;76.693;45.432;123.637;1.199;0.0482;5.233;4.524;Medium;0
WQ05560;22.16;8.21;31.41;26.37;0;18.52;91.15;1688.098;1.21;40.915;26.598;156.446;0.383;0.3035;7.864;83.43;Medium;0
WQ05561;17.85;7.77;37.06;34.39;12.34;2.54;19.47;49.4538;0.77;119.721;11.361;16.717;0.066;0.263;7.683;56.643;Medium;1
WQ05562;53.70634939;6.69;37.82;17.05;13.24;0.7;21.81;15.267;0.31;31.626;40.003;65.08;1.213;0.2607;5.404;65.207;Medium;1
WQ05563;18.93;8.4;32.28;26.46;14.81;1.06;18.48;19.5888;1.4;33.496;11.079;65.225;1.465;0.059;1.115;20.174;High;1
WQ05564;28.5;8.12;30.26;13.62;7.27;9.05;36.65;331.6825;1.12;111.681;13.727;67.291;0.124;0.2495;9.817;55.858;High;0
WQ05565;10.8;-1.813807142;31.13;8.11;15.04;0.98;10.2;9.996;0.37;2.957;12.046;101.491;1.408;0.0794;4.085;53.111;Low;1
WQ05566;12.63;7.23;38.32;23.88;12.32;1.51;13.58;20.5058;0.23;83.603;25.992;58.037;0.545;0.2139;3.509;62.001;High;1
WQ05567;13.2;7.04;37.28;48.86;14.53;0;14.18;0;0.04;87.039;16.43;89.988;1.413;0.0358;9.825;84.757;Low;1
WQ05568;26.03;7.71;30.99;41.45;8.04;4.57;28.21;128.9197;0.71;100.365;8.131;74.82;0.977;0.4292;8.785;76.477;Low;1
WQ05569;25.95;6.51;30.23;34.89;3.63;14.29;69.24;989.4396;0.49;116.933;22.932;147.589;1.336;0.0115;3.637;54.733;Medium;0
WQ05570;21.94;7.08;33.46;9.49;14.93;2.29;17.13;39.2277;0.08;117.072;43.758;121.493;1.181;0.47;3.429;89.351;Medium;1
WQ05571;25.14;7.24;35.45;7.79;10.29;6.77;30.91;209.2607;0.24;7.833;28.742;131.419;0.052;0.4321;7.349;35.906;High;1
WQ05572;18.57;6.56;30.03;39.96;12.7;1.1;11.86;13.046;0.44;98.621;43.978;43.696;0.108;0.3775;3.676;49.306;High;1
WQ05573;12.09;7.44;39.42;22.08;14.63;0.24;31.56;7.5744;0.44;77.557;10.196;66.449;0.793;0.4914;2.889;64.978;High;1
WQ05574;14.56;6.76;36.8;13.94;2.86;20.25;81.58;1651.995;0.24;77.681;8.765;6.191;0.203;0.0316;9.807;44.133;Low;0
WQ05575;18.21;7.22;34.48;1.92;4.17;16.98;66.44;1128.1512;0.22;15.402;28.991;23.458;0.697;0.3226;5.874;36.206;Low;0
WQ05576;19.41;7.16;31.28;9.92;8.43;3.29;19.53;64.2537;0.16;78.022;23.435;54.481;1.432;0.4254;7.744;11.328;Medium;1
WQ05577;;6.9;34.94;42.93;3.52;13.18;76.36;1006.4248;0.1;117.898;33.179;14.962;0.449;0.0677;7.274;63.626;High;0
WQ05578;31.38;6.69;39.85;42.39;2.67;24.46;96.29;2355.2534;0.31;109.418;39.834;121.321;0.738;0.2945;7.677;19.341;Medium;0
WQ05579;13.64;7.58;32.49;46.55;1.88;20.82;91.22;1899.2004;0.58;52.696;37.69;199.63;0.583;0.2;9.082;13.912;High;0
WQ05580;22.15;6.62;30.44;36.16;12.07;-0.67;10;6.7;0.38;4.794;47.142;21.961;0.948;0.2207;5.257;18.297;High;1
WQ05581;29.47;7.68;35.81;8.57;8.85;3.97;29.6;117.512;0.68;43.475;20.214;164.604;0.299;0.4567;7.657;68.879;Medium;1
WQ05582;25.15;7.3;34.14;28.36;11.36;0.49;11.54;5.6546;0.3;99.167;10.716;25.526;0.397;0.2716;8.07;13.922;Low;1
WQ05583;24.84;6.93;30.5;41.33;10.73;;26.88;28.224;0.07;;27.77;134.643;1.29;0.0512;9.491;97.626;High;1
WQ05584;24.65;7.16;34.6;10.08;10.66;0;20.84;0;0.16;55.121;5.982;129.345;1.219;0.4689;7.274;75.878;Medium;1
WQ05585;12.14;7.13;39.97;20.4;14.03;1.6;24.16;38.656;0.13;6.612;14.798;180.738;1.186;0.0967;8.98;39.334;High;1
WQ05586;28.82;7.73;34.14;18.88;9.22;0.15;10.2;1.53;0.73;51.227;10.79;24.561;1.159;0.4469;1.403;59.369;Low;1
WQ05587;24.6;8.42;32.15;6.46;14.26;1.61;28.55;45.9655;1.42;56.283;20.13;64.458;0.695;0.4856;1.698;0.862;Medium;1
WQ05588;17.38;8.64;33.39;48.51;2.64;15.89;76.74;1219.3986;1.64;111.427;6.005;19.974;1.096;0.4395;2.004;84.469;Low;0
WQ05589;29.4;7.03;35.31;16.92;0.39;-19.78;83.43;1650.2454;0.03;76.93;2.076;82.662;0.587;0.3402;1.876;27.194;High;0
WQ05590;24.8;8.09;30.46;17.27;13.02;0.08;14.43;1.1544;1.09;37.398;33.011;182.495;0.16;0.3731;1.331;7.281;Low;1
WQ05591;;7.3;36.08;23.69;2.68;17.36;87.43;1517.7848;0.3;63.038;30.707;;0.596;0.3514;1.664;75.836;High;0
WQ05592;31.5;6.77;33.54;36.81;7.79;8.93;37.54;335.2322;0.23;7.927;35.564;145.134;0.246;0.233;9.961;33.025;High;0
WQ05593;30.06;8.32;31.76;40.96;9.85;6.95;36.79;255.6905;1.32;116.708;33.189;107.539;0.592;0.1408;3.086;56.797;High;1
WQ05594;21.61;8.42;33.16;19.58;2.28;24.64;92.17;2271.0688;1.42;43.207;6.158;176.93;0.453;0.1461;5.041;84.419;Medium;0
WQ05595;30.01;6.74;39.91;15.23;8.5;1.85;30.66;56.721;0.26;57.344;14.908;90.989;0.903;0.3669;8.305;77.616;Low;1
WQ05596;14.97;6.54;34.18;15.87;11.37;2.27;20.68;46.9436;0.46;42.634;6.912;31.638;0.549;0.3149;1.624;33.75;Low;1
WQ05597;14.43;8.71;36.13;13.45;10.21;0.89;15.35;13.6615;1.71;81.901;42.227;167.842;1.061;0.2945;3.515;86.883;Medium;1
WQ05598;31.04;7.29;31.06;9.82;10.02;5.15;26.88;138.432;0.29;79.468;37.472;57.368;0.773;0.328;2.013;38.946;Medium;1
WQ05599;13.32;6.69;32.95;49.34;8.16;4.74;31.62;149.8788;0.31;85.839;10.476;12.619;1.38;0.3885;1.094;50.052;Low;1
WQ05600;17.09;7.54;36.45;17.7;2.07;19.32;86.28;1666.9296;0.54;32.177;17.395;26.956;0.146;0.3754;9.627;61.285;High;0
WQ05601;17.76;8.56;36.83;19.72;10.4;3.03;12.62;38.2386;1.56;37.88;48.347;122.594;1.035;0.0572;8.654;7.191;Low;1
WQ05602;25.01;7.82;32.44;46.93;4.39;;61.21;1009.965;0.82;15.03;29.911;122.202;1.012;0.1847;8.853;59.757;High;0
WQ05603;21.69;8.06;34.28;36.71;12.32;4.55;33.06;150.423;1.06;78.661;40.157;53.516;1.426;0.1357;8.752;57.784;High;1
WQ05604;22.61;7.79;37.81;46.43;2.21;22.83;77.87;1777.7721;0.79;4.776;13.597;145.982;0.564;0.2714;1.968;87.362;Low;0
WQ05605;19.41;7.49;30.81;38.82;10.93;2.93;15.97;46.7921;0.49;71.722;10.898;155.181;0.465;0.0354;7.957;35.431;Medium;1
WQ05606;29.45;6.69;35.17;11.64;8.98;6.01;29.92;179.8192;0.31;104.364;39.304;184.26;0.267;0.3824;7.415;24.295;Medium;1
WQ05607;31.16;6.5;37.89;3.17;5.75;11.53;69.14;797.1842;0.5;106.9;34.451;117.818;0.405;0.0577;9.291;47.704;High;0
WQ05608;;7.94;35.04;48.37;10.23;2.85;29.68;84.588;0.94;53.885;34.208;156.326;0.758;0.1393;2.584;68.764;Low;1
WQ05609;26.97;6.83;31.58;31.52;11.89;0;17.01;0;0.17;55.116;27.855;151.114;1.258;0.3925;4.433;56.233;Low;1
WQ05610;25.76;7.9;30.7;38.12;11.48;4.02;16.51;66.3702;0.9;9.236;28.397;53.046;0.434;0.0305;3.302;13.907;Medium;1
WQ05611;29.19;8.14;35.8;4.91;13.19;0.26;15.72;4.0872;1.14;80.492;36.917;63.425;0.245;0.3318;2.95;34.854;Low;1
WQ05612;19.24;8.61;30.1;3.15;12.28;2.04;19.22;39.2088;1.61;98.551;13.865;96.74;0.415;0.4626;6.698;6.472;Medium;1
WQ05613;29.12517174;7.93;39.03;12.26;14.09;1.5;11.32;16.98;0.93;29.359;17.962;5.77;0.16;0.3107;2.057;73.959;High;1
WQ05614;23.05;7.32;35.62;0.94;12.01;;18.88;72.8768;0.32;50.556;43.646;60.885;1.391;0.3578;4.916;88.307;Low;1
WQ05615;14.5;7.99;33.36;26.35;2.09;24.67;97.17;2397.1839;0.99;100.661;15.789;95.829;1.31;0.3972;6.643;4.663;Low;0
WQ05616;12.44;6.71;35.69;20.45;1.05;;87.86;1790.5868;0.29;105.254;27.542;23.398;0.47;0.115;1.738;52.59;Medium;0
WQ05617;14.17;7.75;39.73;35.86;12.49;2.79;20.83;58.1157;0.75;;35.281;27.003;0.378;0.2926;2.941;56.641;High;1
WQ05618;15.24;7.75;34.09;27.31;7.01;9.25;47.04;435.12;0.75;66.068;49.996;93.721;1.359;0.158;9.69;43.939;High;1
WQ05619;13.35;6.84;33.45;49.75;6.7;14.94;67.9;1014.426;0.16;23.099;22.047;146.731;0.013;0.1285;8.057;50.323;Medium;0
WQ05620;19.56;6.67;33.57;20.58;1.63;20.98;72.49;1520.8402;0.33;12.225;21.691;167.082;0.905;0.1003;6.931;71.065;High;0
WQ05621;15.54;6.84;32.84;39.71;1.03;24.99;95.19;2378.7981;0.16;109.334;42.208;110.17;1.375;0.2948;8.632;48.424;Low;0
WQ05622;25.44;7.35;36.71;41.67;14.79;1.28;14.59;18.6752;0.35;98.461;40.372;96;0.768;0.3983;0.633;91.973;Low;1
